Position_nm,Real_Wavefunction,Imaginary_Wavefunction,ProbabilityDensity,PotentialEnergy_eV
0.96,4.40005937231112e-06,5.52650302236815e-06,4.99027581361073e-11,-437.76
0.964,6.52763002917111e-06,-2.56135503492571e-06,4.91704934126757e-11,-439.0056
0.968,7.08686335646175e-08,-5.80177216064928e-06,3.36655825673084e-11,-440.2464
0.972,-3.61258258273833e-06,-1.96639477314802e-06,1.69174613209682e-11,-441.4824
0.976,-4.01689388444202e-06,4.04514538120588e-08,1.61370727989832e-11,-442.7136
0.98,-3.2817267806569e-06,5.75566333740218e-06,4.38973911163963e-11,-443.94
0.984,5.28115935315941e-06,4.87850019547006e-06,5.16904082706645e-11,-445.1616
0.988,6.10871687398717e-06,-3.74784756151652e-06,5.13627831909009e-11,-446.3784
0.992,-7.78358107379182e-07,-5.85284850405365e-06,3.48616769547259e-11,-447.5904
0.996,-4.37026975133823e-06,-1.43888123770973e-06,2.1169636915695e-11,-448.7976
1,-3.57782868641528e-06,1.19176503297233e-06,1.42211620031517e-11,-450
1.004,-2.28646875710276e-06,5.60489903421009e-06,3.66428325608963e-11,-451.1976
1.008,5.88247027775844e-06,4.34002573384606e-06,5.34392799391574e-11,-452.3904
1.012,5.74295035975817e-06,-4.77853662036219e-06,5.58158910667891e-11,-453.5784
1.016,-1.71511055512174e-06,-5.51485607908796e-06,3.33552417893435e-11,-454.7616
1.02,-4.68224806222016e-06,-9.31537392938909e-07,2.27912088306078e-11,-455.94
1.024,-3.38447909153466e-06,2.15949073965533e-06,1.61180989756924e-11,-457.1136
1.028,-1.3494559445408e-06,5.45117806050292e-06,3.15363735935649e-11,-458.2824
1.032,6.1180359881326e-06,3.76245486930595e-06,5.15864309956497e-11,-459.4464
1.036,5.34672890066568e-06,-5.64194384479885e-06,6.04190402850773e-11,-460.6056
1.04,-2.70178352963044e-06,-5.15761117714349e-06,3.39005872955778e-11,-461.76
1.044,-4.6562584058085e-06,-5.49068646408474e-07,2.19822187201311e-11,-462.9096
1.048,-3.32832247008632e-06,2.70204888801424e-06,1.83787986581005e-11,-464.0544
1.052,-4.141759710653e-07,5.35059292813447e-06,2.88003864176105e-11,-465.1944
1.056,6.3173429773067e-06,3.04513212655857e-06,4.91816519611254e-11,-466.3296
1.06,5.05482414541594e-06,-6.22100141202993e-06,6.42521057095583e-11,-467.46
1.064,-3.43854827126078e-06,-4.78491751827968e-06,3.47190498705303e-11,-468.5856
1.068,-4.36414669552724e-06,-1.00532608383912e-07,1.90558831854298e-11,-469.7064
1.072,-3.33342720654183e-06,3.0449091541414e-06,2.03832086982873e-11,-470.8224
1.076,3.58061177449328e-07,5.57866414675438e-06,3.12497014690792e-11,-471.9336
1.08,6.46481511397529e-06,2.35050069938983e-06,4.73186879957154e-11,-473.04
1.084,4.58829211744982e-06,-6.42590987020782e-06,6.23447422150865e-11,-474.1416
1.088,-4.02939352965047e-06,-4.43438823243672e-06,3.58998112127623e-11,-475.2384
1.092,-4.16814554254002e-06,2.66696762371368e-07,1.74445644268556e-11,-476.3304
1.096,-3.51205461976128e-06,3.12672470649015e-06,2.21109350423625e-11,-477.4176
1.1,8.56173517007495e-07,5.91546847162162e-06,3.57258003299744e-11,-478.5
1.104,6.64708791681026e-06,1.52824463127688e-06,4.65193094268316e-11,-479.5776
1.108,4.00202835263136e-06,-6.45949905067347e-06,5.77413589209168e-11,-480.6504
1.112,-4.26901561874906e-06,-4.17399602057063e-06,3.56467371328629e-11,-481.7184
1.116,-4.04216052942788e-06,4.69148891359682e-07,1.65591624279287e-11,-482.7816
1.12,-3.78486308355336e-06,3.17982698285508e-06,2.44364882021383e-11,-483.84
1.124,1.07818488791411e-06,6.42592735161851e-06,4.24550249808053e-11,-484.8936
1.128,6.68946782488693e-06,7.80972033240282e-07,4.53588970969009e-11,-485.9424
1.132,3.00829277906201e-06,-6.32205783294508e-06,4.90182406876589e-11,-486.9864
1.136,-4.5665692855349e-06,-4.10616187869988e-06,3.77141204136789e-11,-488.0256
1.14,-4.53110629584219e-06,6.33436691555997e-08,2.05349366846428e-11,-489.06
1.144,-4.61943002860985e-06,2.6771989558337e-06,2.85065280383394e-11,-490.0896
1.148,8.08732632478479e-07,6.02119080193155e-06,3.69087871441007e-11,-491.1144
1.152,6.54395234975388e-06,-1.1225402163389e-06,4.40834088931475e-11,-492.1344
1.156,2.17486390030975e-06,-7.58553951808719e-06,6.2270442765333e-11,-493.1496
1.16,-3.83883060015697e-06,-5.92516005154543e-06,4.98441420131313e-11,-494.16
1.164,-3.81933050049643e-06,-2.62451813635249e-06,2.14753809200654e-11,-495.1656
1.168,-3.33731837348447e-06,3.37358846012083e-07,1.12515049169796e-11,-496.1664
1.172,3.7090261292496e-06,3.75671503570174e-06,2.78697826869238e-11,-497.1624
1.176,1.05895993194567e-05,-4.09614684950546e-06,1.28918032759351e-10,-498.1536
1.18,6.94027118428796e-06,-8.98889617997688e-06,1.28967618645861e-10,-499.14
1.184,3.85492707577515e-06,-6.7676404277317e-06,6.06614197186129e-11,-500.1216
1.188,4.42859173369934e-06,-2.51166358936694e-06,2.59208787299417e-11,-501.0984
1.192,6.33731980706623e-06,3.86240822233921e-06,5.50798196130275e-11,-502.0704
1.196,1.52680243412984e-05,1.03038237928264e-05,3.39281352040095e-10,-503.0376
1.2,2.24186225945669e-05,6.19788780886253e-06,5.4100845232887e-10,-504
1.204,1.81232969557392e-05,7.48332912180729e-06,3.84454107291194e-10,-504.9576
1.208,1.44957222101323e-05,1.49828808345227e-05,4.3461268049483e-10,-505.9104
1.212,9.69679964493832e-06,2.53964130533317e-05,7.39005719329511e-10,-506.8584
1.216,5.19221560960498e-06,4.01680566051917e-05,1.64043187437451e-09,-507.8016
1.22,5.04894877327749e-06,5.26329404371627e-05,2.79571830277709e-09,-508.74
1.224,-1.80699565526368e-06,5.39571245239529e-05,2.9146365201915e-09,-509.6736
1.228,-2.3085419246544e-05,5.87395518047089e-05,3.98327152800678e-09,-510.6024
1.232,-4.71042995253923e-05,6.34389744465643e-05,6.24331851260971e-09,-511.5264
1.236,-7.87358115877079e-05,6.58166168961689e-05,1.05311550860321e-08,-512.4456
1.24,-0.000110570893494625,6.60939894365352e-05,1.65943379278366e-08,-513.36
1.244,-0.000138831143935585,5.13677253333748e-05,2.19127297323881e-08,-514.2696
1.248,-0.000172960100238957,1.48896940620042e-05,3.01368992639303e-08,-515.1744
1.252,-0.000213686586000079,-3.25174787522873e-05,4.67193434607745e-08,-516.0744
1.256,-0.000247014468122395,-9.69313007558556e-05,7.0411824528012e-08,-516.9696
1.26,-0.000273464262577721,-0.000176384506840456,1.05894197160527e-07,-517.86
1.264,-0.000273972859881369,-0.000269066778026831,1.47458058989317e-07,-518.7456
